id,RowId,ColId,QCScore,MedianExcess,NumExcess,LS3x3,DBSumPos,DBSumNeg,pGamma,pBeta,-ExcessHSA,-ExcessCRX,pGamma_scrambled
45,NCGC00345447,NCGC00164600,3,96.2083,10,-1.9696,0.38859,-1.40699,0.015796841,0.012977611,116.23617,-2.11546,-0.011121963
46,NCGC00017363,NCGC00164600,0,46.31478,17,-7.17196,0.6366,-0.29714,0.005537667,-0.046776019,73.21533,-3.91775,-0.005197678
47,NCGC00015871,NCGC00164600,3,73.18763,24,-20.49197,0.00053,-1.6332,0.035985643,0.026595026,206.91688,206.91688,0.012704742
48,NCGC00024379,NCGC00164600,0,46.85616,17,-3.11756,0.21541,-0.656,0.01518925,0.011583751,74.85217,74.85217,0.002513137
49,NCGC00346681,NCGC00164600,0,58.29555,15,-8.16117,0.3956,-0.57617,0.001496549,-0.012913114,60.93652,60.93652,-0.020936921
50,NCGC00249613,NCGC00164600,0,48.48621,20,-3.30458,0.09042,-1.07845,0.023393281,0.015301703,121.51578,0.39843,0.001605511
66,NCGC00161602,NCGC00164591,0,42.88272,10,-4.80653,0.37176,-0.1174,0.027306658,-0.061840607,60.19247,0,-0.007376464
67,NCGC00016528,NCGC00164591,0,21.00819,13,-3.33467,0.08232,-0.00438,0.021249019,-0.078898863,34.10332,-1.63506,0.011735429
68,NCGC00264106,NCGC00164591,0,27.96196,8,-0.17155,0.69306,0,0.031390984,-0.049810895,38.413,38.413,0.005823675
69,NCGC00016612,NCGC00164591,3,76.44078,8,-0.09009,0.12638,-0.08049,0.001893302,-0.040784247,14.3196,14.3196,0.005709249
70,NCGC00348199,NCGC00164591,0,27.83099,15,-6.12603,0.0726,-0.03145,0.041899803,-0.081015879,72.59279,72.59279,-0.007461852
73,NCGC00179454,NCGC00164591,2,7.98027,11,-0.48509,0.83673,-0.00093,-0.065941787,-0.632678938,-27.72524,-27.72524,0.042656147
74,NCGC00346487,NCGC00164591,2,11.52707,7,-0.06754,0.35906,-0.00041,-0.055577083,-0.509422975,-0.53418,-0.53418,0.002814643
75,NCGC00346524,NCGC00164591,2,14.85489,15,-1.26368,0.07439,-0.00194,0.011080024,-0.172743004,26.07375,0,0.004715892
76,NCGC00346654,NCGC00164591,2,42.54633,1,0,2.03328,0,-0.116092793,-0.403134254,-85.2455,-85.2455,0.050068683
79,NCGC00016526,NCGC00164591,2,8.07751,12,-0.41044,1.08929,-0.00019,-0.12045218,-0.554129219,-32.06287,1.26863,0.014932967
80,NCGC00264109,NCGC00164591,2,12.33331,11,-0.49891,0.24065,0,0.003492706,-0.15357708,12.7124,12.7124,0.049187449
